Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_1812_4532Metric_Pad1.57x3.40mm_HandSolder",104.700000,-78.800000,180.000000,bottom
"C3","0.1uF","C_1812_4532Metric_Pad1.57x3.40mm_HandSolder",110.300000,-74.262500,90.000000,bottom
"C6","600pF","C_1210_3225Metric",127.000000,-87.900000,0.000000,bottom
"C11","0.1uF","C_1812_4532Metric_Pad1.57x3.40mm_HandSolder",114.500000,-84.200000,270.000000,bottom
"JP2","Thermal Jumper","R_2512_6332Metric",155.300000,-93.100000,180.000000,bottom
"Q5","IRF1404","TO-263-3_TabPin2",151.892000,-78.028000,90.000000,bottom
"Q6","IRF1404","TO-263-3_TabPin2",140.208000,-59.601000,90.000000,bottom
"Q7","IRF1404","TO-263-3_TabPin2",151.892000,-59.601000,90.000000,bottom
"Q8","IRF1404","TO-263-3_TabPin2",140.335000,-78.016000,90.000000,bottom
"R2","15k","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",127.975001,-84.605001,180.000000,bottom
"R5","100","R_2010_5025Metric",129.800000,-65.300000,180.000000,bottom
"R6","100","R_2010_5025Metric",129.300000,-79.200000,180.000000,bottom
