Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.33uF","C_1812_4532Metric_Pad1.57x3.40mm_HandSolder",103.124000,-76.073000,270.000000,top
"C4","0.1uF","C_1812_4532Metric_Pad1.57x3.40mm_HandSolder",108.200000,-70.300000,0.000000,top
"C5","0.47uF","C_1812_4532Metric_Pad1.57x3.40mm_HandSolder",116.900000,-71.500000,270.000000,top
"C9","4700uF","CP_Elec_18x17.5",113.600000,-56.800000,270.000000,top
"J1","Batt+","Wuerth_REDCUBE-THR_WP-THRBU_74650195_THR",96.393000,-51.700000,0.000000,top
"J2","Batt-","Wuerth_REDCUBE-THR_WP-THRBU_74650195_THR",96.400000,-94.100000,0.000000,top
"J4","Motor+","Wuerth_REDCUBE-THR_WP-THRBU_74650195_THR",166.200000,-65.000000,0.000000,top
"J5","Motor-","Wuerth_REDCUBE-THR_WP-THRBU_74650195_THR",166.200000,-87.700000,0.000000,top
"JP1","Thermal Jumper","R_2512_6332Metric",166.200000,-54.400000,90.000000,top
"Q1","IRF1404","TO-263-3_TabPin2",140.335000,-59.601000,90.000000,top
"Q2","IRF1404","TO-263-3_TabPin2",140.354000,-78.155000,90.000000,top
"Q3","IRF1404","TO-263-3_TabPin2",151.873000,-59.613000,90.000000,top
"Q4","IRF1404","TO-263-3_TabPin2",151.892000,-78.143000,90.000000,top
"R1","15k","R_2010_5025Metric_Pad1.40x2.65mm_HandSolder",127.900000,-83.100000,180.000000,top
"R3","100","R_2010_5025Metric",123.800000,-71.200000,0.000000,top
"R4","100","R_2010_5025Metric",128.500000,-76.000000,0.000000,top
"SW1","SW_DIP_x03","SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile",128.200000,-89.662000,180.000000,top
"U1","L7805","SOT-223",110.109000,-76.200000,0.000000,top
"U2","a4956","MLF-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",120.200000,-79.600000,180.000000,top
"U3","Attiny4313","VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias",117.221000,-88.900000,180.000000,top
